,0,total_value
0,가,-0.1750893312914752
1,가가,0.29411764705882354
2,가게,0.145877378435518
3,가격,0.3791808812115305
4,가격대,0.3396901072705602
5,가격표,-0.6666666666666667
6,가계,0.05882352941176472
7,가공,-0.4266666666666667
8,가관,-0.9661016949152543
9,가구,-0.210161662817552
10,가구점,-0.43999999999999995
11,가급적,-0.4285714285714286
12,가까운,-0.21341463414634143
13,가까울,-0.5384615384615385
14,가까움,-0.3846153846153846
15,가까워,-0.19999999999999996
16,가까워요,-0.5384615384615385
17,가까웠,-0.09090909090909088
18,가까이,-0.49642857142857144
19,가깝,-0.49090909090909096
20,가꾸,0.5833333333333333
21,가끔,0.35236004390779363
22,가나,0.12121212121212116
23,가느,0.09090909090909088
24,가느다란,-0.4545454545454546
25,가늘,-0.3636363636363636
26,가늠,-0.14999999999999997
27,가능,-0.027147307521139252
28,가닥,-0.6285714285714286
29,가동,-0.012987012987012936
30,가드,-0.43999999999999995
31,가득,-0.06581059390048155
32,가득차,-0.29411764705882354
33,가든,0.36170212765957444
34,가디건,-0.17241379310344823
35,가뜩이나,-0.7
36,가라,-0.411764705882353
37,가라아게,-0.23076923076923078
38,가라앉,-0.1282051282051282
39,가락,-0.5555555555555556
40,가랑,-0.8648648648648649
41,가랑이,-0.8241758241758241
42,가랭이,-0.8139534883720929
43,가량,-0.5522388059701493
44,가려,-0.2529182879377432
45,가려서,-0.5714285714285714
46,가려야,-0.5384615384615385
47,가려운,-0.3333333333333333
48,가려움,-0.45238095238095233
49,가려움증,-0.21212121212121215
50,가려워,-0.5466666666666666
51,가려워서,-0.7
52,가려져,-0.39999999999999997
53,가려져서,-0.368421052631579
54,가려질,-0.2727272727272727
55,가렵,-0.36774193548387096
56,가로,-0.15254237288135597
57,가로길이,-0.28
58,가로세로,-0.8518518518518519
59,가루,-0.44326530612244897
60,가르,-0.29411764705882354
61,가르쳐,-0.3548387096774193
62,가르침,0.4285714285714286
63,가리,-0.44366197183098594
64,가리개,-0.37142857142857144
65,가리비,-0.8999999999999999
66,가릴,-0.3333333333333333
67,가림,-0.5555555555555556
68,가림막,-0.8666666666666667
69,가만,-0.39999999999999997
70,가만히,-0.6631578947368422
71,가모,0.411764705882353
72,가문,-0.14285714285714285
73,가미,0.23076923076923078
74,가바,-0.19999999999999996
75,가방,-0.22702702702702698
76,가방끈,-0.5833333333333333
77,가벼우,0.47368421052631576
78,가벼운,0.14027149321266963
79,가벼운데,-0.05882352941176472
80,가벼울,0.3846153846153846
81,가벼움,0.2820512820512821
82,가벼워,0.2948328267477203
83,가벼워서,0.38490566037735846
84,가벼웠,0.411764705882353
85,가볍,0.5866486850977748
86,가브리,-0.2727272727272727
87,가사,-0.52
88,가성,0.664816870144284
89,가솔린,-0.6363636363636365
90,가수,-0.2727272727272727
91,가스,-0.02341137123745818
92,가스레인지,0.625
93,가슴,-0.381294964028777
94,가슴골,-0.8333333333333333
95,가슴둘레,-0.30000000000000004
96,가슴살,0.4128329297820823
97,가습,0.37209302325581395
98,가습기,0.5933806146572105
99,가시,-0.6666666666666667
100,가실,-0.4285714285714286
